Filename,DIMBOA,DIMBOA-Glc,DIBOA,HDBOA-Glc,HDMBOA-Glc,InternalStandard
204,665481.5662,94592.2502,245266.9998,3764482.889,79008.61817,32444141.6
205,1048702.389,158620.7741,3922.730288,2944480.763,97403.20562,32744690.47
207,790267.2573,130569.0886,382460.3336,2790885.608,48584.70235,34143910.66
208,353042.8982,62519.18686,6263.526377,1356465.048,81082.48217,33366556.48
209,238092.1636,93667.91176,386525.5198,5339475.763,215242.428,34775600.66
210,766352.5048,115037.5458,4549.650786,5693450.765,368525.7123,34063280.64
211,19584872.55,693114.7229,28815.52058,6214645.45,3253779.565,35108918.67
212,13971842.85,729853.4919,11472.53384,6434093.446,5402057.424,36345191.05
213,10424223.97,311665.3488,67857.5611,1648846.884,1919452.977,37027620.14
214,27341800.62,604225.008,11996.43656,3266357.951,2018794.302,36296153.71
215,53365532.3,668540.1168,133424.7032,5472462.825,7266041.719,38240128.15
217,107776904.5,368768.359,246069.4092,2720628.445,2149962.447,36504017.35
218,18442823.36,449529.1218,3569.012645,4422655.74,4716659.294,39122412.5
219,25819428.12,341170.4002,7548.391444,3584937.598,4019498.041,37308970.78
220,136026883.9,972758.5231,81893.29387,1427904.121,3114656.188,36106549.24
221,663777.07,134083.8811,3181.719739,11763525.36,444826.3889,38722625.96
222,3149764.361,659256.249,3397.216778,10748248.57,657442.9941,30297733.74
223,43991079.59,3098413.151,90911.18799,9571933.018,480246.1177,36083604.86
224,10098642.47,2018998.88,11152.9739,22464687.99,1558367.077,50105348
225,8698544.309,1591375.827,18322.9026,28976087.56,1059147.054,54827227.11
226,1784710.544,420778.2233,693362.41,7251933.57,973431.2884,47652544.19
227,3896358.038,782586.2047,15226.36499,18784535.17,2763693.837,45110060.97
228,3456504.78,804951.0181,3541.020816,15098071.47,558780.8997,46736312.22
229,6702163.207,1580419.209,8070.88536,28396062.45,1227392.978,61427228.86
230,758117.8853,259097.0504,268033.1284,17472227.36,3647846.898,44600873.89
231,70800601.3,4535073.973,10768.82257,65190246.49,45057819.62,37346066.92
232,3809293.466,1983279.93,2512.371654,60415666.29,62327503.12,45365367.89
233,98617.05406,2570190.916,6340.443282,106280694,66420643.22,33891430.14
234,124308851.6,12124601.43,19881.57999,124126847.9,79347137.67,54919194.89
235,11201898.68,3656639.734,10243.36735,82554539.9,66252111.12,54299048.14
236,219261801.7,15186555.57,298821.0233,150907937.8,101398661.6,58092031.97
237,9102897.604,1983911.08,3344.06562,53864530.84,37426207.57,23075026.46
238,16626290.57,5926298.685,4499.540177,74854582.15,61106811.85,48948476.5
239,23524779.14,1903187.79,11459.23094,22823754.39,17787721.81,15817209.21
240,249502339.2,5387442.315,15466.65155,70395562.97,51539952.04,52702622.98
241,568573.2636,84254.35514,8522.6598,2157791.357,122463.0354,37237581.71
243,5750142.302,589978.9966,16724.88104,12868756.2,1293119.886,50117722.6
244,1959672.418,187961.2557,3610.400589,628148.0663,21727.97568,9254826.766
245,87556.12428,23108.16411,4722.859145,1427453.801,45679.9405,9908009.281
246,1741616.963,332967.3641,548423.7285,2722866.541,212528.2462,53457202.48
247,208200.8263,41807.85582,83194.50386,1406771.144,139441.1532,14350048.06
248,450416.1868,98736.36667,4031.781388,1267557.995,140160.4556,35357092.25
249,1057560.123,164188.4721,555223.1377,1787866.531,528219.7054,31218624.26
250,546889.9277,104859.3982,794683.8327,5045617.987,704268.4476,40637192.19
251,1134854.652,233026.5157,48414.14685,5593431.338,2903305.843,12817524.6
253,22732441.16,934589.8685,4003.604404,12971741.01,20748825.37,49951144.94
254,5695122.605,1135790.991,4832.210442,7438315.72,4697864.753,67822473.76
255,1039949.358,276153.6656,3521.686118,14113280.43,13934097.77,57984045.47
256,6171862.907,337655.8109,10041.40556,3609086.171,3361260.853,27846231.14
257,13324331.48,1251293.546,17661.43645,14248050.33,9755131.698,55537912.84
258,60472315.74,610272.3739,7824.792542,5840047.046,6502377.318,58748171.71
259,92411983.47,2611469.467,14148.48744,4110833.138,2705991.246,21431873.57
260,8061654.267,674222.8365,91105.75381,3944830.251,1443762.822,37427038.76
261,883583.8548,275752.9956,7399.315763,22737212.9,1750514.595,47273133.93
262,1323538.574,225469.4744,3068.930581,15690838.18,606741.6997,46751687.03
263,535161.6574,131252.7666,163578.3861,14497004.21,8972357.576,41077842.97
264,286249.1408,108380.4719,2225.412775,8936222.399,977229.8927,18589491.83
265,6484294.138,864342.5156,5784.90445,17055081.78,1477619.836,59118437.04
266,1563039.301,299428.212,2122.996092,7504018.572,732324.4289,16592596.08
267,162784395.8,8323130.043,5172.966392,15105250.03,1775289.429,47189410.69
268,8630511.735,1246666.285,11084.13616,19005059.1,1553901.988,48221828.21
269,1739583.832,363731.0106,143761.2905,39894024.66,3595823.857,59654396.46
270,2907065.357,656023.4751,158535.608,8057872.535,539822.5183,21990388.08
271,67896320.15,4315366.912,251314.3951,92581484.24,81588415.81,54191056.43
272,34465957.67,3827391.552,189086.1025,68604548.49,63621464.95,54314240.38
273,206844377.5,34814804.37,71306.135,186780668.6,189322352.7,85047788.26
274,17411345.55,6789010.504,24883.89497,214470553.3,139250109.3,68582290.97
275,11448008.84,3167423.124,321959.5627,84956987.28,59031272.26,52671940.96
276,22687928.9,4468892.13,5983.299087,144612310.4,90306992.58,62520608.36
277,5971579.013,1218876.053,6514.898893,95830466.76,56196056.83,40192750.46
278,23774928.8,4611780.707,19303.23055,127126066.3,90717409.93,62203210.01
279,128053134.3,7512490.483,16319.11253,70785181.45,51858054.07,48632880.79
280,29952969.63,3568909.226,238465.9321,59886854.29,51321615.31,50358408.36
281,186111.6313,357024.5559,3198.244613,6411227.936,263692.2787,45233883
282,939676.9985,179124.4925,631235.379,3338044.298,475688.8733,46335736.6
283,752405.2335,151123.1525,4831.857824,2421688.697,169967.3073,50570804.3
